               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.031714,            0.058066,                   0,             0.87989,              0.9002,             0.95233,             0.61459,            0.025701,            0.058832,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.030646,            0.057759,                   0,             0.88422,             0.87522,             0.94043,             0.61659,            0.025419,            0.060765,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.031849,            0.057557,                   0,             0.89723,              0.8862,             0.94876,             0.63302,            0.023983,             0.05639,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.031065,            0.055343,                   0,             0.88955,             0.89382,             0.94991,             0.62964,            0.025083,            0.056986,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.030578,            0.056268,                   0,             0.89604,             0.89089,             0.95227,             0.63834,            0.024038,            0.056674,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.030374,            0.056674,                   0,             0.89682,             0.89233,             0.95348,             0.62719,             0.02499,            0.057873,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.030268,            0.055193,                   0,             0.88187,             0.89759,             0.94959,             0.62529,            0.025929,            0.058964,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.030602,            0.057827,                   0,              0.8852,              0.8616,             0.93177,               0.587,            0.028919,            0.067883,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.030204,            0.057314,                   0,             0.89234,             0.90552,             0.95467,             0.62872,            0.024747,            0.057156,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.030531,            0.058242,                   0,             0.87836,              0.8739,             0.93349,             0.59651,            0.027166,            0.065103,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.029252,            0.055581,                   0,             0.88339,              0.8903,             0.94525,             0.63356,            0.024139,            0.057863,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.029785,              0.0586,                   0,             0.89016,              0.8947,             0.95112,             0.62246,            0.024868,            0.058392,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.030592,            0.057495,                   0,             0.87761,             0.88738,             0.94403,             0.61254,            0.026027,            0.060133,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.029863,            0.056019,                   0,             0.89128,             0.86925,             0.94003,             0.61502,            0.025588,            0.059639,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.029991,            0.056871,                   0,             0.90161,             0.89177,             0.95712,             0.63615,            0.024028,            0.056337,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.030413,            0.057892,                   0,             0.89724,             0.90158,             0.95755,             0.64037,            0.023806,            0.054988,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.029274,            0.055157,                   0,             0.88388,              0.8896,             0.94666,             0.63306,            0.024305,            0.057962,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.029742,            0.056254,                   0,             0.89451,             0.88093,             0.94722,              0.6237,            0.025848,             0.05973,                   0,            0.006535,            0.006535,            0.006535
                 107,             0.02892,            0.054853,                   0,             0.88692,             0.87434,             0.94002,             0.61797,              0.0258,            0.061399,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.029817,             0.05586,                   0,             0.88802,             0.85808,             0.92788,             0.60933,             0.02606,            0.062161,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.02913,            0.055582,                   0,              0.9012,             0.89045,             0.95079,              0.6241,            0.025452,            0.059234,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.029128,            0.054235,                   0,             0.89699,             0.87917,             0.94647,             0.60717,            0.025997,            0.059587,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.028985,            0.056691,                   0,             0.88847,             0.90744,             0.95435,             0.64023,            0.024221,            0.056978,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.029914,            0.055923,                   0,             0.90033,             0.89484,             0.95549,             0.64109,            0.024113,            0.056137,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.028945,             0.05632,                   0,             0.89357,             0.88283,             0.94656,              0.6292,            0.025282,            0.059907,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.02886,            0.054008,                   0,               0.897,             0.88771,             0.95059,             0.63695,             0.02442,            0.058201,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.02955,            0.054194,                   0,             0.89444,             0.88576,             0.94731,             0.63171,            0.024877,            0.058057,                   0,            0.006238,            0.006238,            0.006238
